水利種別(消火栓),水利種別(消火栓)名,市町村(消火栓)名,担当区内通番(消火栓),設置場所-1(消火栓),配管径,Ｘ座標(栓)(座標),Ｙ座標(栓)(座標),緯度(栓)(座標),経度(栓)(座標),備考
01,消火栓,彦根市,1156,彦根市清崎町　 ,75,2020733,-8616589,0351322908,1361319236,
01,消火栓,彦根市,1157,彦根市南川瀬町　 ,150,2051736,-8647460,0351312866,1361331471,
01,消火栓,彦根市,1158,彦根市南川瀬町　 ,150,2061645,-8635909,0351316608,1361335400,
01,消火栓,彦根市,1159,彦根市南川瀬町　 ,150,2070996,-8625350,0351320028,1361339108,
01,消火栓,彦根市,1160,彦根市極楽寺町　 ,75,2132216,-8548932,0351344783,1361403393,
01,消火栓,彦根市,1161,彦根市川瀬馬場町　 ,100,2095447,-8610984,0351324672,1361348792,
01,消火栓,彦根市,1162,彦根市川瀬馬場町　 ,100,2087646,-8619537,0351321902,1361345699,
01,消火栓,彦根市,1163,彦根市南川瀬町　 ,125,2077746,-8631768,0351317940,1361341772,
01,消火栓,彦根市,1164,彦根市南川瀬町　 ,150,2070833,-8639927,0351315297,1361339031,
01,消火栓,彦根市,1165,彦根市楡町　 ,150,2049742,-8685296,0351300588,1361330648,
01,消火栓,彦根市,1166,彦根市南川瀬町　 ,100,2069763,-8683032,0351301308,1361338568,
01,消火栓,彦根市,1167,彦根市南川瀬町　 ,200,2074900,-8660503,0351308616,1361340620,
01,消火栓,彦根市,1168,彦根市南川瀬町　 ,200,2081523,-8651281,0351311604,1361343248,
01,消火栓,彦根市,1169,彦根市南川瀬町　 ,100,2087960,-8639952,0351315276,1361345804,
01,消火栓,彦根市,1170,彦根市川瀬馬場町　 ,200,2096945,-8628728,0351318912,1361349368,
01,消火栓,彦根市,1171,彦根市川瀬馬場町　 ,125,2105574,-8616421,0351322900,1361352793,
01,消火栓,彦根市,1172,彦根市川瀬馬場町　 ,150,2119438,-8625191,0351320043,1361358268,
01,消火栓,彦根市,1173,彦根市川瀬馬場町　 ,100,2107695,-8633029,0351317508,1361353616,
01,消火栓,彦根市,1174,彦根市南川瀬町　 ,100,2101156,-8638923,0351315600,1361351024,
01,消火栓,彦根市,1175,彦根市南川瀬町　 ,75,2086562,-8665468,0351306996,1361345228,
01,消火栓,彦根市,1176,彦根市南川瀬町　 ,100,2108935,-8657208,0351309660,1361354084,
01,消火栓,彦根市,1177,彦根市川瀬馬場町　 ,100,2116810,-8638110,0351315852,1361357216,
01,消火栓,彦根市,1178,彦根市川瀬馬場町　 ,150,2126707,-8631067,0351318131,1361401137,
01,消火栓,彦根市,1179,彦根市川瀬馬場町　 ,75,2134427,-8620543,0351321540,1361404200,
01,消火栓,彦根市,1180,彦根市川瀬馬場町　 ,75,2145160,-8617412,0351322548,1361408448,
01,消火栓,彦根市,1181,彦根市川瀬馬場町　 ,75,2157374,-8624926,0351320100,1361413272,
01,消火栓,彦根市,1182,彦根市川瀬馬場町　 ,75,2144101,-8631724,0351317904,1361408016,
01,消火栓,彦根市,1183,彦根市川瀬馬場町　 ,150,2135147,-8641044,0351314886,1361404466,
01,消火栓,彦根市,1184,彦根市野口町　 ,75,2150307,-8638697,0351315636,1361410464,
01,消火栓,彦根市,1185,彦根市南川瀬町　 ,150,2141020,-8647621,0351312747,1361406783,
01,消火栓,彦根市,1186,彦根市南川瀬町　 ,100,2132781,-8655931,0351310056,1361403516,
01,消火栓,彦根市,1187,彦根市南川瀬町　 ,100,2122613,-8667380,0351306348,1361359484,
01,消火栓,彦根市,1188,彦根市南川瀬町　 ,75,2106252,-8677734,0351303000,1361353004,
01,消火栓,彦根市,1189,彦根市南川瀬町　 ,75,2118078,-8674601,0351304008,1361357684,
01,消火栓,彦根市,1190,彦根市南川瀬町　 ,75,2133176,-8669130,0351305772,1361403660,
01,消火栓,彦根市,1191,彦根市南川瀬町　 ,75,2140296,-8677433,0351303072,1361406468,
01,消火栓,彦根市,1192,彦根市野口町　 ,150,2151453,-8656356,0351309904,1361410901,
01,消火栓,彦根市,1193,彦根市野口町　 ,75,2157287,-8645831,0351313315,1361413218,
01,消火栓,彦根市,1194,彦根市野口町　 ,150,2200243,-8694116,0351257611,1361430161,
01,消火栓,彦根市,1195,彦根市葛篭町　 ,250,2230728,-8694851,0351257348,1361442216,
01,消火栓,彦根市,1196,彦根市出町,250,2220400,-8709223,0351252692,1361438118,
01,消火栓,彦根市,1197,彦根市出町　 ,200,2211677,-8721408,0351248744,1361434656,
01,消火栓,彦根市,1198,彦根市出町　 ,200,2205239,-8731629,0351245432,1361432100,
01,消火栓,彦根市,1199,彦根市楡町　 ,125,2023082,-8730834,0351245828,1361320064,
01,消火栓,彦根市,1200,彦根市楡町　 ,125,2017912,-8739609,0351242984,1361318012,
01,消火栓,彦根市,1201,彦根市千尋町　 ,100,1996338,-8739768,0351242948,1361309480,
01,消火栓,彦根市,1202,彦根市千尋町　 ,100,1991619,-8746655,0351240716,1361307608,
01,消火栓,彦根市,1203,彦根市太堂町　 ,100,1985454,-8757872,0351237080,1361305160,
